execution_time,month,day
567,10,29
542,11,2
504,11,5
476,11,6
482,11,6
460,11,8
454,11,8
425,11,9
419,11,9
408,11,10
397,11,10
384,11,11
376,11,11
367,11,15
360,11,15
352,11,16
349,11,16
342,11,16
337,11,17
326,11,17
318,11,18
312,11,18
303,11,18
298,11,19
295,11,19
291,11,19
286,11,22
279,11,24
276,11,24
264,11,25
260,11,25
253,11,26
249,11,26
243,11,26
237,11,29
231,11,29
227,11,31
220,11,31
216,12,1
217,12,1
211,12,2
209,12,2
207,12,2
203,12,2
201,12,2
198,12,3
196,12,3
195,12,3
197,12,6
193,12,6
192,12,6
189,12,6
